,name,worth_amount_(BUSD),country,company_sector,company_name,age,gender
0,Jeff Bezos,112.0,United States,Technology,Amazon,54.0,
1,Bill Gates,90.0,United States,Technology,Microsoft,62.0,M
2,Warren Buffett,84.0,United States,Finance and Investments,Berkshire Hathaway,87.0,M
3,Bernard Arnault,72.0,,Fashion & Retail,LVMH,69.0,
4,Mark Zuckerberg,71.0,United States,Technology,Facebook,33.0,M
5,Amancio Ortega,70.0,,Fashion & Retail,Zara,82.0,M
6,Carlos Slim Helu,67.1,,Telecom,telecom,78.0,M
7,Charles Koch,60.0,United States,Diversified,Koch Industries,82.0,M
8,David Koch,60.0,United States,Diversified,Koch Industries,78.0,M
9,Larry Ellison,58.5,United States,Technology,software,73.0,
10,Michael Bloomberg,50.0,,Media & Entertainment,Bloomberg LP,76.0,M
11,Larry Page,48.8,United States,Technology,Google,45.0,M
12,Sergey Brin,47.5,,Technology,Google,44.0,M
13,Jim Walton,46.4,,Fashion & Retail,Walmart,70.0,
14,S. Robson Walton,46.2,United States,Fashion & Retail,Walmart,73.0,M
15,Alice Walton,46.0,United States,Fashion & Retail,Walmart,68.0,F
16,Ma Huateng,45.3,China,Technology,internet media,46.0,M
17,Francoise Bettencourt Meyers,42.2,,Fashion & Retail,L'Oreal,64.0,F
18,Mukesh Ambani,40.1,,Energy,"petrochemicals, oil & gas",61.0,
19,Jack Ma,39.0,,Technology,e-commerce,53.0,
20,Sheldon Adelson,38.5,,Gambling & Casinos,casinos,84.0,M
21,Steve Ballmer,38.4,,Technology,Microsoft,62.0,M
22,Li Ka-Shing,34.9,Hong Kong,Diversified,diversified,90.0,M
23,Hui Ka Yan,30.3,,Real Estate,real estate,59.0,M
24,Lee Shau Kee,30.3,,Real Estate,real estate,90.0,
25,Wang Jianlin,30.0,,Real Estate,real estate,63.0,
26,Beate Heister & Karl Albrecht Jr.,29.8,Germany,Fashion & Retail,supermarkets,66.0,
27,Phil Knight,29.6,United States,Fashion & Retail,Nike,80.0,M
28,Jorge Paulo Lemann,27.4,Brazil,Food and Beverage,beer,78.0,M
29,Francois Pinault,27.0,France,Fashion & Retail,luxury goods,81.0,M
30,Georg Schaeffler,25.3,Germany,Automotive,auto parts,53.0,
31,Susanne Klatten,25.0,,Automotive,"BMW, pharmaceuticals",56.0,F
32,David Thomson,25.0,,Media & Entertainment,media,61.0,
33,Jacqueline Mars,23.6,United States,Food and Beverage,"candy, pet food",78.0,F
34,John Mars,23.6,United States,Food and Beverage,"candy, pet food",82.0,
35,Joseph Safra,23.5,,Finance and Investments,banking,79.0,M
36,Giovanni Ferrero,23.0,,Food and Beverage,"Nutella, chocolates",53.0,M
37,Dietrich Mateschitz,23.0,Austria,Food and Beverage,Red Bull,74.0,M
38,Michael Dell,22.7,United States,Technology,Dell computers,53.0,M
39,Masayoshi Son,22.7,Japan,Telecom,"internet, telecom",60.0,
40,Serge Dassault,22.6,France,Diversified,diversified,93.0,M
41,Stefan Quandt,22.0,,Automotive,BMW,52.0,
42,Yang Huiyan,21.9,,Real Estate,real estate,35.0,F
43,Paul Allen,21.7,,Technology,"Microsoft, investments",65.0,M
44,Leonardo Del Vecchio,21.2,,Fashion & Retail,eyeglasses,83.0,M
45,Dieter Schwarz,20.9,,Fashion & Retail,retail,78.0,
46,Thomas Peterffy,20.3,United States,Finance and Investments,discount brokerage,73.0,M
47,"Theo Albrecht, Jr.",20.2,,Fashion & Retail,"Aldi, Trader Joe's",67.0,
48,Len Blavatnik,20.2,United States,Diversified,diversified,61.0,M
49,He Xiangjian,20.1,China,Manufacturing,home appliances,75.0,M
50,Lui Che Woo,20.1,Hong Kong,Gambling & Casinos,casinos,89.0,M
51,James Simons,20.0,United States,Finance and Investments,hedge funds,80.0,M
52,Henry Sy,20.0,,Diversified,diversified,93.0,M
53,Elon Musk,19.9,United States,Automotive,Tesla Motors,46.0,M
54,Hinduja Family,19.5,,Diversified,diversified,,M
55,Tadashi Yanai,19.5,,Fashion & Retail,fashion retail,69.0,
56,Vladimir Lisin,19.1,,Metals & Mining,"steel, transport",62.0,
57,Laurene Powell Jobs,18.8,United States,Philanthropy/NGO,"Apple, Disney",54.0,F
58,Azim Premji,18.8,,Technology,software services,72.0,
59,Alexey Mordashov,18.7,Russia,Metals & Mining,"steel, investments",52.0,
60,Lee Kun-Hee,18.6,South Korea,Diversified,Samsung,76.0,M
61,Lakshmi Mittal,18.5,,Metals & Mining,steel,68.0,M
62,Wang Wei,18.2,,Service,package delivery,48.0,M
63,Leonid Mikhelson,18.0,,Energy,"gas, chemicals",62.0,M
64,Charoen Sirivadhanabhakdi,17.9,Thailand,Food and Beverage,"drinks, real estate",74.0,
65,Pallonji Mistry,17.8,Ireland,Construction & Engineering,construction,89.0,M
66,Ray Dalio,17.7,,Finance and Investments,hedge funds,68.0,
67,Takemitsu Takizaki,17.5,,Manufacturing,sensors,73.0,M
68,William Ding,17.4,China,Technology,online games,46.0,
69,R. Budi Hartono,17.4,Indonesia,Finance and Investments,"banking, tobacco",77.0,M
70,Gina Rinehart,17.4,Australia,Metals & Mining,mining,64.0,F
71,German Larrea Mota Velasco,17.3,,Metals & Mining,mining,64.0,M
